mode start end
1 1499953944.781924 1499953949.788247
1 1499954067.226456 1499954072.229675
1 1499953884.703818 1499953889.707369
1 1499953985.937376 1499953990.943799
1 1499953965.363859 1499953970.366598
1 1499953924.756708 1499953929.759068
1 1499954006.524913 1499954011.531599
1 1499954026.578477 1499954031.580256
1 1499954127.848272 1499954132.851817
1 1499953844.638028 1499953849.638248
1 1499954107.822641 1499954112.822567
1 1499954047.149866 1499954052.152412
1 1499953864.686310 1499953869.686295
1 1499954087.789976 1499954092.789475
1 1499953904.734253 1499953909.733482
4 1499953949.790876 1499953954.792239
4 1499953949.790981 1499953954.794059
4 1499953949.790933 1499953954.794950
4 1499953949.802651 1499953954.805157
4 1499954072.232402 1499954077.231036
4 1499954072.232323 1499954077.237597
4 1499954072.232272 1499954077.239668
4 1499954072.242631 1499954077.244381
4 1499953889.710104 1499953894.707221
4 1499953889.710159 1499953894.710607
4 1499953889.710205 1499953894.715679
4 1499953889.719329 1499953894.724994
4 1499953990.946531 1499953995.946988
4 1499953990.946432 1499953995.948393
4 1499953990.946484 1499953995.952281
4 1499953990.959316 1499953995.965073
4 1499953970.369218 1499953975.369627
4 1499953970.369312 1499953975.374967
4 1499953970.369169 1499953975.376358
4 1499953970.369333 1499953975.382167
4 1499953929.761836 1499953934.762009
4 1499953929.761831 1499953934.762917
4 1499953929.762607 1499953934.764772
4 1499953929.761720 1499953934.770855
4 1499954011.534260 1499954016.534667
4 1499954011.534312 1499954016.539419
4 1499954011.534208 1499954016.542174
4 1499954011.545996 1499954016.545907
4 1499954031.582910 1499954036.580295
4 1499954031.582959 1499954036.582643
4 1499954031.582853 1499954036.590540
4 1499954031.592643 1499954036.595385
4 1499954132.854449 1499954137.857162
4 1499954132.854499 1499954137.857794
4 1499954132.854395 1499954137.860068
4 1499954132.865963 1499954137.868042
4 1499953849.641178 1499953854.641864
4 1499953849.641280 1499953854.642444
4 1499953849.641235 1499953854.648120
4 1499953849.645937 1499953854.649848
4 1499954112.825180 1499954117.824935
4 1499954112.825229 1499954117.827982
4 1499954112.825311 1499954117.829289
4 1499954112.835971 1499954117.838622
4 1499954052.155152 1499954057.155240
4 1499954052.155071 1499954057.159639
4 1499954052.155021 1499954057.162611
4 1499954052.165971 1499954057.167238
4 1499953869.689235 1499953874.689807
4 1499953869.689279 1499953874.690130
4 1499953869.689214 1499953874.692797
4 1499953869.689126 1499953874.695051
4 1499954092.792145 1499954097.795203
4 1499954092.792096 1499954097.797664
4 1499954092.792223 1499954097.797810
4 1499954092.802640 1499954097.801643
4 1499953909.736214 1499953914.733762
4 1499953909.736167 1499953914.739658
4 1499953909.736085 1499953914.741407
4 1499953909.745987 1499953914.747944
8 1499953955.342439 1499953965.71026
